run,section,group,full_edge_acc,context_edge_acc,changed_edge_acc,add,delete,full_type_acc,full_state_mae,proposal_edge_scope_recall,proposal_edge_scope_excess_ratio,proposal_out_of_scope_miss_edge
clean_w012,overall_final,overall,0.974149470899471,0.9842141932141932,0.053691275167785234,0.012578616352201259,0.10071942446043165,0.9769221380471381,0.07059128814004362,0.27070063694267515,0.8657894736842106,0.8456375838926175
clean_w012,overall_all_steps,overall,0.9724420394420394,0.9830292454459122,0.06236559139784946,0.018907563025210083,0.10792951541850221,0.975381734006734,0.07147015247038041,0.2906350914962325,0.8666447151794534,0.832258064516129
clean_w012,by_dependency_bucket_final,fully_independent,0.9729224386724387,0.9863747271247272,0.07801418439716312,0.015384615384615385,0.13157894736842105,0.9858977272727273,0.06800511599971791,0.2577777777777778,0.9073482428115016,0.8156028368794326
clean_w012,by_dependency_bucket_final,partially_dependent,0.9737031024531025,0.9858040848040848,0.03508771929824561,0.0,0.06666666666666667,0.9759823232323233,0.06990113159161851,0.21694915254237288,0.8907849829351536,0.8508771929824561
clean_w012,by_dependency_bucket_final,strongly_interacting,0.9758228715728715,0.9804637677137678,0.023255813953488372,0.025,0.0,0.9688863636363636,0.07386761682879443,0.31516587677725116,0.8066860465116279,0.9302325581395349
clean_w012,by_event_type_all_steps,edge_add,0.9632105872652091,0.9843461471612731,0.018907563025210083,0.018907563025210083,,0.9946348994143112,0.06646365493904541,0.029411764705882353,0.9911727616645649,0.9705882352941176
clean_w012,by_event_type_all_steps,edge_delete,0.964428266300513,0.9842442229006105,0.10792951541850221,,0.10792951541850221,0.9967711253504206,0.06434582156084714,0.31277533039647576,0.9052069425901201,0.6872246696035242
clean_w012,by_event_type_all_steps,motif_type_flip,0.9855859979880868,0.9855859979880868,,,,0.9014894374554948,0.06713730759813957,0.4046997389033943,0.7574334898278561,
clean_w012,by_event_type_all_steps,node_state_update,0.9785986885576208,0.9785986885576208,,,,0.9947358596229233,0.08641269588703714,0.3153070577451879,0.7990654205607477,
clean_w012,by_corruption_setting_final,clean,0.974149470899471,0.9842141932141932,0.053691275167785234,0.012578616352201259,0.10071942446043165,0.9769221380471381,0.07059128814004362,0.27070063694267515,0.8657894736842106,0.8456375838926175
clean_i1520,overall_final,overall,0.9573665223665224,0.9665560396393731,0.11409395973154363,0.012578616352201259,0.2302158273381295,0.9791565656565656,0.06190422496584053,0.27070063694267515,0.8657894736842106,0.8456375838926175
clean_i1520,overall_all_steps,overall,0.9536699134199134,0.9632646304312971,0.12150537634408602,0.023109243697478993,0.22466960352422907,0.9768996913580247,0.06323399032496949,0.2906350914962325,0.8666447151794534,0.832258064516129
clean_i1520,by_dependency_bucket_final,fully_independent,0.9565627705627706,0.9684638787138787,0.15602836879432624,0.015384615384615385,0.27631578947368424,0.9893585858585858,0.05934951108615055,0.2577777777777778,0.9073482428115016,0.8156028368794326
clean_i1520,by_dependency_bucket_final,partially_dependent,0.9579076479076479,0.9690051522551522,0.09649122807017543,0.0,0.18333333333333332,0.9785479797979798,0.06030888061607351,0.21694915254237288,0.8907849829351536,0.8508771929824561
clean_i1520,by_dependency_bucket_final,strongly_interacting,0.9576291486291487,0.9621990879490879,0.023255813953488372,0.025,0.0,0.9695631313131312,0.06605428319529753,0.31516587677725116,0.8066860465116279,0.9302325581395349
clean_i1520,by_event_type_all_steps,edge_add,0.9425098827409751,0.9630192170108136,0.023109243697478993,0.023109243697478993,,0.9960322765469825,0.058615764330973916,0.029411764705882353,0.9911727616645649,0.9705882352941176
clean_i1520,by_event_type_all_steps,edge_delete,0.9478815848859902,0.9644191344631873,0.22466960352422907,,0.22466960352422907,0.9982334356783695,0.05739258365924091,0.31277533039647576,0.9052069425901201,0.6872246696035242
clean_i1520,by_event_type_all_steps,motif_type_flip,0.9679418202916897,0.9679418202916897,,,,0.9030448083972887,0.05882205730670835,0.4046997389033943,0.7574334898278561,
clean_i1520,by_event_type_all_steps,node_state_update,0.9587498629593086,0.9587498629593086,,,,0.996394126065584,0.07666323990479841,0.3153070577451879,0.7990654205607477,
clean_i1520,by_corruption_setting_final,clean,0.9573665223665224,0.9665560396393731,0.11409395973154363,0.012578616352201259,0.2302158273381295,0.9791565656565656,0.06190422496584053,0.27070063694267515,0.8657894736842106,0.8456375838926175
noisy_p2_w012,overall_final,overall,0.8748856822190156,0.8818045575823353,0.2360178970917226,0.10272536687631027,0.38848920863309355,0.9770345117845118,0.13278998569166653,0.7094833687190375,0.9132522822653918,0.5480984340044743
noisy_p2_w012,overall_all_steps,overall,0.8738277751055529,0.881056218815478,0.25197132616487455,0.10364145658263306,0.40748898678414097,0.9752491582491581,0.13323677640082715,0.7072120559741658,0.9156213879018794,0.5311827956989248
noisy_p2_w012,by_dependency_bucket_final,fully_independent,0.8767415824915825,0.885850720267387,0.2624113475177305,0.08717948717948718,0.41228070175438597,0.9865606060606059,0.13041810234182008,0.5896296296296296,0.9496775825009482,0.5319148936170213
noisy_p2_w012,by_dependency_bucket_final,partially_dependent,0.8697487974987975,0.8775765253265253,0.2573099415204678,0.13580246913580246,0.36666666666666664,0.9752462121212121,0.13254169350609132,0.7084745762711865,0.9196565863659661,0.45321637426900585
noisy_p2_w012,by_dependency_bucket_final,strongly_interacting,0.8781666666666667,0.8819864271530938,0.09302325581395349,0.08333333333333333,0.2222222222222222,0.9692967171717173,0.13541016122708818,0.7740916271721959,0.8675675675675676,0.8527131782945736
noisy_p2_w012,by_event_type_all_steps,edge_add,0.8604352852252012,0.8775090403941945,0.10364145658263306,0.10364145658263306,,0.9945524927142574,0.12790080433459441,0.14565826330532214,0.9892104990144206,0.8543417366946778
noisy_p2_w012,by_event_type_all_steps,edge_delete,0.8760600551349451,0.8868179653054837,0.40748898678414097,,0.40748898678414097,0.9960065041012177,0.1277113820595898,0.8076358296622613,0.9359235742995282,0.19236417033773867
noisy_p2_w012,by_event_type_all_steps,motif_type_flip,0.8809140767365311,0.8809140767365311,,,,0.9013142741602272,0.13056668572781435,0.8520452567449956,0.8763966921280222,
noisy_p2_w012,by_event_type_all_steps,node_state_update,0.8792637433294517,0.8792637433294517,,,,0.9951769578052945,0.1457030935716946,0.8087381607088299,0.8512169074251026,
noisy_p2_w012,by_corruption_setting_final,N1,0.9004433621933621,0.9078209167375834,0.22483221476510068,0.08176100628930817,0.38848920863309355,0.977409090909091,0.09317366488762074,0.7314225053078556,0.9076902465166131,0.5369127516778524
noisy_p2_w012,by_corruption_setting_final,N2,0.8734824434824435,0.8805872214205548,0.2181208053691275,0.1069182389937107,0.34532374100719426,0.9770180976430975,0.11966818329420957,0.721868365180467,0.9125739264592441,0.5067114093959731
noisy_p2_w012,by_corruption_setting_final,N3,0.850731240981241,0.857005534588868,0.2651006711409396,0.11949685534591195,0.4316546762589928,0.9766763468013467,0.1855281088931693,0.6751592356687898,0.9191970524710964,0.6006711409395973
noisy_p2_rft1,overall_final,overall,0.8754438031104698,0.8820924651480206,0.25727069351230425,0.1111111111111111,0.4244604316546763,0.9795218855218856,0.11769069645981964,0.7094833687190375,0.9132522822653918,0.5480984340044743
noisy_p2_rft1,overall_all_steps,overall,0.8730161535994869,0.8799729492044307,0.26559139784946234,0.11204481792717087,0.4265785609397944,0.9779471099887768,0.11842523975499472,0.7072120559741658,0.9156213879018794,0.5311827956989248
noisy_p2_rft1,by_dependency_bucket_final,fully_independent,0.8764847282347282,0.885489217572551,0.2624113475177305,0.08205128205128205,0.4166666666666667,0.9901906565656566,0.11651517103603642,0.5896296296296296,0.9496775825009482,0.5319148936170213
noisy_p2_rft1,by_dependency_bucket_final,partially_dependent,0.8727883597883598,0.8799565773732442,0.30994152046783624,0.16666666666666666,0.4388888888888889,0.9783758417508418,0.11601840711608279,0.7084745762711865,0.9196565863659661,0.45321637426900585
noisy_p2_rft1,by_dependency_bucket_final,strongly_interacting,0.8770583213083213,0.880831600498267,0.10077519379844961,0.08333333333333333,0.3333333333333333,0.9699991582491583,0.12053851122733972,0.7740916271721959,0.8675675675675676,0.8527131782945736
noisy_p2_rft1,by_event_type_all_steps,edge_add,0.8587724483732887,0.8755914409275753,0.11204481792717087,0.11204481792717087,,0.9986409968027615,0.1132072668189151,0.14565826330532214,0.9892104990144206,0.8543417366946778
noisy_p2_rft1,by_event_type_all_steps,edge_delete,0.8750333204077697,0.8849813195995281,0.4265785609397944,,0.4265785609397944,0.9980725018169951,0.11422458095108994,0.8076358296622613,0.9359235742995282,0.19236417033773867
noisy_p2_rft1,by_event_type_all_steps,motif_type_flip,0.8803381320352599,0.8803381320352599,,,,0.9028988756142803,0.11655888892174755,0.8520452567449956,0.8763966921280222,
noisy_p2_rft1,by_event_type_all_steps,node_state_update,0.8792992998331808,0.8792992998331808,,,,0.9979804893562595,0.12890915471121722,0.8087381607088299,0.8512169074251026,
noisy_p2_rft1,by_corruption_setting_final,N1,0.9007151274651274,0.9077865036198369,0.2516778523489933,0.10062893081761007,0.4244604316546763,0.9793741582491583,0.07841372223072983,0.7314225053078556,0.9076902465166131,0.5369127516778524
noisy_p2_rft1,by_corruption_setting_final,N2,0.8735511063011063,0.8803965324798658,0.2348993288590604,0.1069182389937107,0.381294964028777,0.9797525252525253,0.10518153135195024,0.721868365180467,0.9125739264592441,0.5067114093959731
noisy_p2_rft1,by_corruption_setting_final,N3,0.8520651755651756,0.8580943593443593,0.28523489932885904,0.12578616352201258,0.4676258992805755,0.9794389730639731,0.16947683579677886,0.6751592356687898,0.9191970524710964,0.6006711409395973
noisy_p2_i1520,overall_final,overall,0.8360804473304473,0.8409764607820163,0.3713646532438479,0.1090146750524109,0.6714628297362111,0.9793281425364758,0.12302948782730148,0.7094833687190375,0.9132522822653918,0.5480984340044743
noisy_p2_i1520,overall_all_steps,overall,0.8331772620383732,0.8383083154842415,0.3835125448028674,0.1015406162464986,0.6791483113069016,0.9773900112233445,0.12374742696944484,0.7072120559741658,0.9156213879018794,0.5311827956989248
noisy_p2_i1520,by_dependency_bucket_final,fully_independent,0.8384829244829245,0.8445100393433727,0.41371158392434987,0.08717948717948718,0.6929824561403509,0.9898282828282828,0.12077916867521776,0.5896296296296296,0.9496775825009482,0.5319148936170213
noisy_p2_i1520,by_dependency_bucket_final,partially_dependent,0.8319771524771525,0.8370242226908893,0.4269005847953216,0.16049382716049382,0.6666666666666666,0.9780816498316498,0.1220310513196444,0.7084745762711865,0.9196565863659661,0.45321637426900585
noisy_p2_i1520,by_dependency_bucket_final,strongly_interacting,0.837781265031265,0.841395120311787,0.08527131782945736,0.075,0.2222222222222222,0.9700744949494949,0.1262782434870423,0.7740916271721959,0.8675675675675676,0.8527131782945736
noisy_p2_i1520,by_event_type_all_steps,edge_add,0.8124446748396328,0.8284659007348083,0.1015406162464986,0.1015406162464986,,0.996892418583595,0.11895422250930678,0.14565826330532214,0.9892104990144206,0.8543417366946778
noisy_p2_i1520,by_event_type_all_steps,edge_delete,0.8440149343233043,0.847560733170131,0.6791483113069016,,0.6791483113069016,0.9978149705572613,0.11915757485927805,0.8076358296622613,0.9359235742995282,0.19236417033773867
noisy_p2_i1520,by_event_type_all_steps,motif_type_flip,0.8353884487043756,0.8353884487043756,,,,0.9033283223883747,0.12180467924957035,0.8520452567449956,0.8763966921280222,
noisy_p2_i1520,by_event_type_all_steps,node_state_update,0.8415992821536968,0.8415992821536968,,,,0.9975328230975049,0.13423907082520123,0.8087381607088299,0.8512169074251026,
noisy_p2_i1520,by_corruption_setting_final,N1,0.8549729437229437,0.8600101750101751,0.3825503355704698,0.09433962264150944,0.7122302158273381,0.9794873737373738,0.08512281163192358,0.7314225053078556,0.9076902465166131,0.5369127516778524
noisy_p2_i1520,by_corruption_setting_final,N2,0.835016354016354,0.8398521941021941,0.37583892617449666,0.11320754716981132,0.6762589928057554,0.9794204545454545,0.11016893813731495,0.721868365180467,0.9125739264592441,0.5067114093959731
noisy_p2_i1520,by_corruption_setting_final,N3,0.8182520442520442,0.8230670132336799,0.35570469798657717,0.11949685534591195,0.6258992805755396,0.9790765993265993,0.17379671371266597,0.6751592356687898,0.9191970524710964,0.6006711409395973
comparison::w012_clean_to_noisy_p2,delta_overall_final,overall,-0.09926378868045538,-0.1024096356318579,0.18232662192393737,0.09014675052410902,0.2877697841726619,0.00011237373737371659,0.06219869755162291,0.43878273177636234,0.04746280858118124,-0.2975391498881431
comparison::i1520_clean_to_noisy_p2,delta_overall_final,overall,-0.12128607503607514,-0.12557957885735682,0.25727069351230425,0.09643605870020965,0.44124700239808157,0.00017157687991020687,0.06112526286146095,0.43878273177636234,0.04746280858118124,-0.2975391498881431
comparison::noisy_w012_to_rft1,delta_overall_final,overall,0.000558120891454128,0.00028790756568530806,0.021252796420581643,0.008385744234800832,0.03597122302158273,0.0024873737373737326,-0.01509928923184689,0.0,0.0,0.0
comparison::noisy_w012_to_i1520,delta_overall_final,overall,-0.03880523488856835,-0.04082809680031907,0.13534675615212527,0.0062893081761006275,0.2829736211031175,0.002293630751963982,-0.009760497864365045,0.0,0.0,0.0
comparison::noisy_rft1_to_i1520,delta_overall_final,overall,-0.03936335578002248,-0.04111600436600438,0.11409395973154363,-0.0020964360587002046,0.2470023980815348,-0.00019374298540975055,0.005338791367481846,0.0,0.0,0.0
